answer_id,timestamp,vote_id,world_id,status,world_name,publication_date,release_status,world_url,fetch_date
37,2025-12-02 21:11:21+09:00,7,wrld_7603ed6f-e18f-4df2-9e3b-3b63af180063,Duplicate,QECTRATC,2025-03-03 22:47:13.654000+09:00,public,https://vrchat.com/home/world/wrld_7603ed6f-e18f-4df2-9e3b-3b63af180063,2025-12-15 00:29:01.215060+09:00
96,2025-12-12 23:31:09+09:00,10,wrld_12cb1447-ddc1-4cc9-a38f-35615b212a81,Duplicate,SightMaestra,2025-09-24 02:32:36.535000+09:00,public,https://vrchat.com/home/world/wrld_12cb1447-ddc1-4cc9-a38f-35615b212a81,2025-12-15 00:25:32.449447+09:00
85,2025-12-09 23:21:20+09:00,3,wrld_4bceadd2-868c-40e9-a752-1a8fb39e25d8,Ineligible (Community Labs),Light Test World,,public,https://vrchat.com/home/world/wrld_4bceadd2-868c-40e9-a752-1a8fb39e25d8,2025-12-15 00:31:24.613360+09:00
34,2025-12-02 19:38:43+09:00,5,wrld_18addcea-d275-4969-af51-3e407ee89cf6,Ineligible (Private),［Public］Araisan Mansion,2025-01-17 22:14:15.304000+09:00,private,https://vrchat.com/home/world/wrld_18addcea-d275-4969-af51-3e407ee89cf6,2025-12-15 00:28:42.956157+09:00
28,2025-12-01 23:56:20+09:00,5,wrld_1247aa9a-a86a-42ff-b1a4-7a8055424a50,Ineligible (past poll),Yokosuka Museum of Art -横須賀美術館-,2025-08-13 17:16:23.490000+09:00,public,https://vrchat.com/home/world/wrld_1247aa9a-a86a-42ff-b1a4-7a8055424a50,2025-12-15 00:28:08.137021+09:00
13,2025-12-01 16:35:03+09:00,9,wrld_320bff3b-6164-4265-9ff2-d3b1adb1dafb,Ineligible (past poll),Stay gold,2025-10-07 15:22:12.038000+09:00,public,https://vrchat.com/home/world/wrld_320bff3b-6164-4265-9ff2-d3b1adb1dafb,2025-12-15 00:26:57.488757+09:00
26,2025-12-01 21:51:50+09:00,1,wrld_057b9b0f-a9c1-4f3c-b002-058a658e2217,Ineligible (period),中文吧 Chinese Bar 8․0․6［CN＼HK＼TW］,2020-08-04 05:18:55.058000+09:00,public,https://vrchat.com/home/world/wrld_057b9b0f-a9c1-4f3c-b002-058a658e2217,2025-12-15 00:28:02.735643+09:00
120,2025-12-14 21:22:57+09:00,9,wrld_580d4963-7b4c-4a0e-b7fe-390e100f5841,Ineligible (period),Kon Lake Fishing,2021-07-22 15:32:30.082000+09:00,public,https://vrchat.com/home/world/wrld_580d4963-7b4c-4a0e-b7fe-390e100f5841,2025-12-15 00:32:55.541530+09:00
11,2025-12-01 16:19:48+09:00,6,wrld_61f2fa45-e023-48dd-8c69-fdb658da9347,Ineligible (period),Debug Jinja,2021-09-03 23:37:34.408000+09:00,public,https://vrchat.com/home/world/wrld_61f2fa45-e023-48dd-8c69-fdb658da9347,2025-12-15 00:26:40.424460+09:00
144,2025-12-14 23:27:41+09:00,3,wrld_175f8d7d-fd44-476a-8242-8aaef5ba5b33,Ineligible (period),Japan Talk Room 日本人向け談話室 ［ JTR JP ］,2022-02-04 19:33:44.319000+09:00,public,https://vrchat.com/home/world/wrld_175f8d7d-fd44-476a-8242-8aaef5ba5b33,2025-12-15 00:33:11.769826+09:00
11,2025-12-01 16:19:48+09:00,1,wrld_94f3d1c0-2b3f-4ad4-b119-7f9dd20fa4c6,Ineligible (period),Floating Breath,2022-09-04 22:30:14.083000+09:00,public,https://vrchat.com/home/world/wrld_94f3d1c0-2b3f-4ad4-b119-7f9dd20fa4c6,2025-12-15 00:26:37.185323+09:00
97,2025-12-13 02:29:48+09:00,4,wrld_eaacc3e3-ec19-4a11-a366-4f3e453fdb7b,Ineligible (period),有坂みとアバター交流会,2023-01-05 21:56:23.655000+09:00,public,https://vrchat.com/home/world/wrld_eaacc3e3-ec19-4a11-a366-4f3e453fdb7b,2025-12-15 00:31:50.492940+09:00
46,2025-12-04 10:21:34+09:00,5,wrld_a8912308-d979-407e-b744-4a6a760ff86e,Ineligible (period),Horse Mountain,2023-03-25 04:59:53.450000+09:00,public,https://vrchat.com/home/world/wrld_a8912308-d979-407e-b744-4a6a760ff86e,2025-12-15 00:29:35.738986+09:00
120,2025-12-14 21:22:57+09:00,10,wrld_6325c346-2ea9-4bc5-8d65-59cd7e700d06,Ineligible (period),Terra Cotta Valley,2023-04-15 06:08:13.960000+09:00,public,https://vrchat.com/home/world/wrld_6325c346-2ea9-4bc5-8d65-59cd7e700d06,2025-12-15 00:32:56.594521+09:00
47,2025-12-04 11:25:35+09:00,7,wrld_f0cecb84-d135-4504-a4eb-55d517ac6bcf,Ineligible (period),Promise,2023-04-17 23:47:55.069000+09:00,public,https://vrchat.com/home/world/wrld_f0cecb84-d135-4504-a4eb-55d517ac6bcf,2025-12-15 00:29:41.066086+09:00
27,2025-12-01 22:27:57+09:00,2,wrld_1051d8dc-7caf-4a1b-ba98-5e6a60f489ca,Ineligible (period),澄夏町学校 プール開放日 -School Swimming Pool in Summer-,2023-08-11 22:44:50.696000+09:00,public,https://vrchat.com/home/world/wrld_1051d8dc-7caf-4a1b-ba98-5e6a60f489ca,2025-12-15 00:28:03.792613+09:00
52,2025-12-04 15:42:07+09:00,4,wrld_72a5616c-da9c-438e-ab40-b2360dd17921,Ineligible (period),Tarried Precipice,2023-08-27 09:39:14.653000+09:00,public,https://vrchat.com/home/world/wrld_72a5616c-da9c-438e-ab40-b2360dd17921,2025-12-15 00:30:01.549316+09:00
40,2025-12-03 04:44:26+09:00,3,wrld_01239a7a-b748-4369-ad55-6a2928bcb0ed,Ineligible (period),深夜に部屋を真っ暗にしてテレビを見るワールド,2023-08-29 20:27:27.315000+09:00,public,https://vrchat.com/home/world/wrld_01239a7a-b748-4369-ad55-6a2928bcb0ed,2025-12-15 00:29:07.697946+09:00
97,2025-12-13 02:29:48+09:00,2,wrld_2d333c14-a9a3-4cf1-ae66-5e54711d98bf,Ineligible (period),セフィラウンジ！ 2号店,2023-11-16 22:48:37.663000+09:00,public,https://vrchat.com/home/world/wrld_2d333c14-a9a3-4cf1-ae66-5e54711d98bf,2025-12-15 00:31:48.342756+09:00
97,2025-12-13 02:29:48+09:00,3,wrld_369e4bb7-ab13-489b-ad86-e7da6eacc40d,Ineligible (period),セフィラウンジǃRebootǃ,2023-11-17 20:29:47.744000+09:00,public,https://vrchat.com/home/world/wrld_369e4bb7-ab13-489b-ad86-e7da6eacc40d,2025-12-15 00:31:49.436795+09:00
27,2025-12-01 22:27:57+09:00,3,wrld_43c9cf46-c66c-4e18-98f5-e479e58f99e8,Ineligible (period),漂泊ノ海-Wandering Sea-,2023-12-27 01:39:55.778000+09:00,public,https://vrchat.com/home/world/wrld_43c9cf46-c66c-4e18-98f5-e479e58f99e8,2025-12-15 00:28:04.847372+09:00
11,2025-12-01 16:19:48+09:00,7,wrld_65b9835c-cdd9-4991-8460-c77cb5e6eaaf,Ineligible (period),日々部屋 - HibiLoft,2024-05-10 12:13:35.174000+09:00,public,https://vrchat.com/home/world/wrld_65b9835c-cdd9-4991-8460-c77cb5e6eaaf,2025-12-15 00:26:41.492764+09:00
91,2025-12-12 00:43:48+09:00,2,wrld_96a3dbd6-15f6-4eb4-98c3-b9c7f993ff83,Ineligible (period),Ludo,2024-05-18 23:52:31.867000+09:00,public,https://vrchat.com/home/world/wrld_96a3dbd6-15f6-4eb4-98c3-b9c7f993ff83,2025-12-15 00:31:34.376512+09:00
83,2025-12-09 17:52:07+09:00,2,wrld_7f057f79-0c1e-4f97-aeee-79eb176ed77c,Ineligible (period),強制ミュート喫茶雨音 COFFEE SHOP AMANE,2024-09-22 13:29:26.773000+09:00,public,https://vrchat.com/home/world/wrld_7f057f79-0c1e-4f97-aeee-79eb176ed77c,2025-12-15 00:31:15.831440+09:00
13,2025-12-01 16:35:03+09:00,7,wrld_72244679-733b-4695-bf03-ea936f54a71a,Ineligible (period),約束の花園,2024-10-11 00:25:37.925000+09:00,public,https://vrchat.com/home/world/wrld_72244679-733b-4695-bf03-ea936f54a71a,2025-12-15 00:26:55.376647+09:00
18,2025-12-01 19:42:07+09:00,1,wrld_8bbb6f61-61cf-4243-a58e-2000f2740e2b,Ineligible (period),よるとうげ -Yorutouge-,2024-10-14 20:25:30.518000+09:00,public,https://vrchat.com/home/world/wrld_8bbb6f61-61cf-4243-a58e-2000f2740e2b,2025-12-15 00:27:20.003789+09:00
117,2025-12-14 20:29:27+09:00,1,wrld_8bbb6f61-61cf-4243-a58e-2000f2740e2b,Ineligible (period),よるとうげ -Yorutouge-,2024-10-14 20:25:30.518000+09:00,public,https://vrchat.com/home/world/wrld_8bbb6f61-61cf-4243-a58e-2000f2740e2b,2025-12-15 00:27:20.003789+09:00
46,2025-12-04 10:21:34+09:00,8,wrld_3ef814ff-9b9d-423a-8f40-cd6491e11cfd,Ineligible (period),忘郷,2024-10-25 21:18:08.118000+09:00,public,https://vrchat.com/home/world/wrld_3ef814ff-9b9d-423a-8f40-cd6491e11cfd,2025-12-15 00:29:36.800711+09:00
27,2025-12-01 22:27:57+09:00,5,wrld_ebc40dab-e142-41bc-bd64-1c82834b92b0,Ineligible (period),Ephemeris,2024-11-02 01:21:27.800000+09:00,public,https://vrchat.com/home/world/wrld_ebc40dab-e142-41bc-bd64-1c82834b92b0,2025-12-15 00:28:05.903035+09:00
125,2025-12-14 22:32:36+09:00,2,wrld_269fa2ee-33e6-4505-b44f-fd1b3e4b6262,Ineligible (period),小雨のあの日-A drizzly day,2024-11-21 21:34:31.742000+09:00,public,https://vrchat.com/home/world/wrld_269fa2ee-33e6-4505-b44f-fd1b3e4b6262,2025-12-15 00:33:04.078832+09:00
105,2025-12-14 16:56:55+09:00,2,wrld_1bef6f76-7fbd-4d9c-a717-42f68e615329,Ineligible (period),SALON․,2024-11-24 21:58:01.567000+09:00,public,https://vrchat.com/home/world/wrld_1bef6f76-7fbd-4d9c-a717-42f68e615329,2025-12-15 00:32:20.820659+09:00
105,2025-12-14 16:56:55+09:00,4,wrld_c9489683-f268-48e7-b3b7-87ac485fcf70,Ineligible (period),記憶の地図を空に描く,2024-11-29 00:23:23.713000+09:00,public,https://vrchat.com/home/world/wrld_c9489683-f268-48e7-b3b7-87ac485fcf70,2025-12-15 00:32:21.875357+09:00
17,2025-12-01 18:39:55+09:00,6,wrld_262729a1-1eca-4f4a-b9ed-d00ffa663d6b,Ineligible (period),WORLD OF THE SOUL,2024-11-30 19:35:44.795000+09:00,public,https://vrchat.com/home/world/wrld_262729a1-1eca-4f4a-b9ed-d00ffa663d6b,2025-12-15 00:27:18.897349+09:00
